ART_LOG - 22/06/2024 | 09:14 PM - [404] - Ruta no encontrada: ArtFrameWork/Public
ART_LOG - 22/06/2024 | 09:24 PM - [404] - Ruta no encontrada: favicon.ico
ART_LOG - 22/06/2024 | 09:40 PM - [404] - Ruta no encontrada: ArtFrameWork/Public
ART_LOG - 22/06/2024 | 09:40 PM - [ARTICMI/ART0001] - View not found: home
ART_LOG - 22/06/2024 | 09:40 PM - [404] - Ruta no encontrada: favicon.ico
ART_LOG - 22/06/2024 | 09:41 PM - [ARTICMI/ART0002] - View: C:\xampp\htdocs\ArtFrameWork\App\Controllers/../App/Views/home.php
ART_LOG - 22/06/2024 | 09:41 PM - [ARTICMI/ART0001] - View not found: home
ART_LOG - 22/06/2024 | 09:41 PM - [404] - Ruta no encontrada: favicon.ico
ART_LOG - 22/06/2024 | 09:43 PM - [ARTICMI/ART0002] - View: C:\xampp\htdocs\ArtFrameWork\App\Controllers/../Views/home.php
ART_LOG - 22/06/2024 | 09:43 PM - [404] - Ruta no encontrada: favicon.ico
ART_LOG - 22/06/2024 | 09:43 PM - [ARTICMI/ART0002] - View: C:\xampp\htdocs\ArtFrameWork\App\Controllers/../Views/home.php
ART_LOG - 22/06/2024 | 09:43 PM - [404] - Ruta no encontrada: favicon.ico
ART_LOG - 22/06/2024 | 02:44 PM - [ARTICMI/ART0002] - Ruta no encontrada: favicon.ico
ART_LOG - 22/06/2024 | 02:44 PM - [ARTICMI/ART0002] - Ruta no encontrada: favicon.ico
ART_LOG - 22/06/2024 | 02:44 PM - [ARTICMI/ART0002] - Ruta no encontrada: favicon.ico
ART_LOG - 22/06/2024 | 02:44 PM - [ARTICMI/ART0002] - Ruta no encontrada: favicon.ico
ART_LOG - 22/06/2024 | 02:45 PM - [ARTICMI/ART0002] - Ruta no encontrada: favicon.ico
ART_LOG - 22/06/2024 | 02:45 PM - [ARTICMI/ART0002] - Ruta no encontrada: favicon.ico
ART_LOG - 22/06/2024 | 04:26 PM - [ARTICMI/ART0002] - Route not found: favicon.ico
ART_LOG - 22/06/2024 | 09:34 PM - [ARTICMI/ART0001] - File not found 'C:\xampp\htdocs\ArtFrameWorkV2\Lib/Database/MySQL/Database.php'.
ART_LOG - 22/06/2024 | 09:34 PM - [ARTICMI/ART0002] - Route not found: favicon.ico
ART_LOG - 22/06/2024 | 09:34 PM - [ARTICMI/ART0002] - Route not found: favicon.ico
ART_LOG - 22/06/2024 | 09:39 PM - [ARTICMI/ART0002] - Route not found: favicon.ico
ART_LOG - 22/06/2024 | 09:39 PM - [1045] - Connection failed: SQLSTATE[HY000] [2002] php_network_getaddresses: getaddrinfo for localhost1 failed: Host desconocido. 
ART_LOG - 22/06/2024 | 09:39 PM - [ARTICMI/ART0002] - Route not found: favicon.ico
ART_LOG - 22/06/2024 | 10:04 PM - [ARTICMI/ART0002] - Route not found: favicon.ico
ART_LOG - 22/06/2024 | 10:05 PM - [ARTICMI/ART0002] - Route not found: favicon.ico
